# MODAL ANALYSIS REPORT

* 1. DOMAIN SIZE:
# This is the size of the problem: 2 for 2D problems, 3 for 3D problems.
2


* 2. EIGENVALUE ANALYSIS:
#          MODE        LAMBDA         OMEGA     FREQUENCY        PERIOD
# ------------- ------------- ------------- ------------- -------------
              1       3242.41       56.9421       9.06262      0.110343
              2       24875.8       157.721        25.102     0.0398374
              3         63713       252.414        40.173     0.0248923
              4        110466       332.364       52.8973     0.0189045
              5        608396       779.997        124.14    0.00805539
              6        752894       867.695       138.098    0.00724124
              7        810247       900.137       143.261    0.00698025
              8   1.01747e+06        1008.7       160.539      0.006229
              9   1.68679e+06       1298.77       206.705    0.00483781
             10   1.96586e+06       1402.09        223.15    0.00448129
             11   2.31961e+06       1523.03       242.397    0.00412546
             12   2.79797e+06       1672.71        266.22    0.00375628
             13   6.61221e+06       2571.42       409.254    0.00244347
             14   8.35569e+06       2890.62       460.057    0.00217365
             15   1.14819e+07        3388.5       539.296    0.00185427
             16   1.23152e+07        3509.3       558.522    0.00179044
             17   1.42207e+07       3771.04        600.18    0.00166617
             18   1.59852e+07       3998.16       636.326    0.00157152
             19   1.62247e+07       4027.99       641.075    0.00155988
             20   1.86461e+07       4318.11       687.249    0.00145508


* 3. TOTAL MASS OF THE STRUCTURE:
# The total masses (translational and rotational) of the structure
# including the masses at fixed DOFs (if any).
#            MX            MY           RMZ
# ------------- ------------- -------------
         0.0275             0       42.4263


* 4. TOTAL FREE MASS OF THE STRUCTURE:
# The total masses (translational and rotational) of the structure
# including only the masses at free DOFs.
#            MX            MY           RMZ
# ------------- ------------- -------------
         0.0275             0       42.4263


* 5. CENTER OF MASS:
# The center of mass of the structure, calculated from free masses.
#             X             Y
# ------------- -------------
        98.2463       87.7892


* 6. MODAL PARTICIPATION FACTORS:
# The participation factor for a certain mode 'a' in a certain direction 'i'
# indicates how strongly displacement along (or rotation about)
# the global axes is represented in the eigenvector of that mode.
#          MODE            MX            MY           RMZ
# ------------- ------------- ------------- -------------
              1      -1.32481             0       11.2052
              2      0.472518             0       50.7927
              3       0.19599             0       11.0379
              4    -0.0738636             0      -7.92257
              5    -0.0527659             0       -3.1814
              6    0.00586289             0       1.33612
              7   -0.00841713             0     -0.782778
              8  -0.000314994             0      -2.18296
              9     0.0132019             0     0.0739036
             10   -0.00302164             0    -0.0510747
             11   -0.00213607             0       1.21706
             12    -0.0003491             0      -1.23883
             13   -0.00994564             0     -0.720573
             14    -0.0138045             0      -1.36364
             15     0.0458461             0       3.97508
             16   -0.00550935             0     -0.427414
             17      0.021799             0       2.10559
             18   -0.00157079             0     -0.630444
             19    -0.0333434             0      -2.84789
             20     0.0104689             0       1.20779


* 7. MODAL PARTICIPATION MASSES:
# The modal participation masses for each mode.
#          MODE            MX            MY           RMZ
# ------------- ------------- ------------- -------------
              1     0.0235458             0       1.68439
              2    0.00327706             0        37.866
              3   0.000579232             0        1.8372
              4   7.87725e-05             0      0.906246
              5   7.88096e-06             0     0.0286489
              6   1.19226e-07             0    0.00619212
              7   2.48198e-07             0    0.00214658
              8   1.32951e-10             0    0.00638524
              9     4.449e-07             0   1.39418e-05
             10    3.1601e-08             0   9.02869e-06
             11   1.20411e-08             0    0.00390893
             12   2.42674e-10             0    0.00305596
             13    2.7901e-07             0    0.00146457
             14   3.02316e-07             0    0.00294999
             15   1.33393e-06             0     0.0100281
             16   4.64799e-08             0   0.000279744
             17   2.95794e-07             0    0.00275972
             18   2.59648e-09             0   0.000418257
             19   4.66202e-07             0    0.00340094
             20   6.35179e-08             0   0.000845432


* 8. MODAL PARTICIPATION MASSES (cumulative):
# The cumulative modal participation masses for each mode.
#          MODE            MX            MY           RMZ
# ------------- ------------- ------------- -------------
              1     0.0235458             0       1.68439
              2     0.0268229             0       39.5504
              3     0.0274021             0       41.3876
              4     0.0274809             0       42.2939
              5     0.0274888             0       42.3225
              6     0.0274889             0       42.3287
              7     0.0274892             0       42.3309
              8     0.0274892             0       42.3372
