
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2022-08-10


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 0.01,0.05,0.1,0.2, 0.3, 0.4, 0.5,1,2,4
Weight Array:, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 11
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, H1
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, H1, 6, 0.0517, 2.0225, -, 17.7, 24.2, 1.6, "Imperial Valley-02", 1940, "El Centro Array #9", 6.95, strike slip, 6.09, 6.09, 213.44, 0.25, 2.0805, RSN6_IMPVALL.I_I-ELC180.AT2, RSN6_IMPVALL.I_I-ELC270.AT2 , RSN6_IMPVALL.I_I-ELC-UP.AT2  
2, H1, 9, 0.0849, 9.831, -, 21.5, 37.2, 0.1, "Borrego", 1942, "El Centro Array #9", 6.5, strike slip, 56.88, 56.88, 213.44, 0.125, 10.113, RSN9_BORREGO_B-ELC000.AT2, RSN9_BORREGO_B-ELC090.AT2 , RSN9_BORREGO_B-ELC-UP.AT2  
3, H1, 15, 0.0674, 4.1626, -, 10.7, 30.3, 0.6, "Kern County", 1952, "Taft Lincoln School", 7.36, Reverse, 38.42, 38.89, 385.43, 0.125, 4.282, RSN15_KERN_TAF021.AT2, RSN15_KERN_TAF111.AT2 , RSN15_KERN_TAF-UP.AT2  
4, H1, 28, 0.0987, 9.3442, -, 14.7, 29.0, 0.1, "Parkfield", 1966, "Cholame - Shandon Array #12", 6.19, strike slip, 17.64, 17.64, 408.93, 0.125, 9.6123, RSN28_PARKF_C12050.AT2, RSN28_PARKF_C12320.AT2 , RSN28_PARKF_C12DWN.AT2  
5, H1, 40, 0.0435, 16.3957, -, 19.3, 28.0, 0.0, "Borrego Mtn", 1968, "San Onofre - So Cal Edison", 6.63, strike slip, 129.11, 129.11, 442.88, 0.1625, 16.8662, RSN40_BORREGO_A-SON033.AT2, RSN40_BORREGO_A-SON303.AT2 , RSN40_BORREGO_A-SON-UP.AT2  
6, H1, 54, 0.0635, 62.9572, -, 13.6, 22.0, 0.0, "San Fernando", 1971, "Borrego Springs Fire Sta", 6.61, Reverse, 214.32, 214.32, 338.54, 0.125, 64.7636, RSN54_SFERN_BSF135.AT2, RSN54_SFERN_BSF225.AT2 , RSN54_SFERN_BSFDWN.AT2  
7, H1, 55, 0.0699, 49.3358, -, 13.6, 21.6, 0.0, "San Fernando", 1971, "Buena Vista - Taft", 6.61, Reverse, 111.37, 112.52, 385.69, 0.125, 50.7514, RSN55_SFERN_BVP090.AT2, RSN55_SFERN_BVP180.AT2 , RSN55_SFERN_BVPDWN.AT2  
8, H1, 59, 0.0835, 35.3724, -, 5.8, 10.4, 0.0, "San Fernando", 1971, "Cedar Springs_ Allen Ranch", 6.61, Reverse, 89.37, 89.72, 813.48, 0.375, 36.3873, RSN59_SFERN_CSM095.AT2, RSN59_SFERN_CSM185.AT2 , RSN59_SFERN_CSMDWN.AT2  
9, H1, 67, 0.0545, 86.5871, -, 20.2, 26.5, 0.0, "San Fernando", 1971, "Isabella Dam (Aux Abut)", 6.61, Reverse, 130.0, 130.98, 591.0, 0.125, 89.0716, RSN67_SFERN_ISD014.AT2, RSN67_SFERN_ISD284.AT2 , RSN67_SFERN_ISDDWN.AT2  
10, H1, 86, 0.0953, 35.9024, -, 15.8, 35.5, 0.0, "San Fernando", 1971, "San Onofre - So Cal Edison", 6.61, Reverse, 124.79, 124.79, 442.88, 0.25, 36.9325, RSN86_SFERN_SON033.AT2, RSN86_SFERN_SON303.AT2 , RSN86_SFERN_SONDWN.AT2  
11, H1, 96, 0.0619, 2.7443, -, 2.8, 8.1, 0.4, "Managua_ Nicaragua-02", 1972, "Managua_ ESSO", 5.2, strike slip, 4.33, 4.98, 288.77, 0.125, 2.8231, RSN96_MANAGUA_B-ESO090.AT2, RSN96_MANAGUA_B-ESO180.AT2 , RSN96_MANAGUA_B-ESODWN.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-6 H1 pSa (g),RSN-9 H1 pSa (g),RSN-15 H1 pSa (g),RSN-28 H1 pSa (g),RSN-40 H1 pSa (g),RSN-54 H1 pSa (g),RSN-55 H1 pSa (g),RSN-59 H1 pSa (g),RSN-67 H1 pSa (g),RSN-86 H1 pSa (g),RSN-96 H1 pSa (g)
0.01,0.55239573,0.61274731,0.69417336,0.54087248,0.56981293,0.65089489,0.66722975,0.57467646,0.67865092,0.56166586,0.60204091,0.71433968,0.52848261,0.47063055,0.72179588
0.02,0.61679146,0.61353806,0.69252505,0.54356006,0.56827161,0.6567507,0.66206354,0.57415533,0.68106962,0.56929577,0.6051091,0.69502459,0.53098195,0.47534453,0.73085196
0.022,0.62967061,0.61548323,0.69642213,0.54395114,0.56856184,0.66028189,0.66359663,0.57856176,0.68130195,0.56630115,0.60631734,0.69689402,0.53150701,0.47600621,0.74098574
0.025,0.64898933,0.61957159,0.70006394,0.54833413,0.56900698,0.66527159,0.66652585,0.58631256,0.68325664,0.57613752,0.60783984,0.71930384,0.53299856,0.47971062,0.7289235
0.029,0.67474762,0.62737813,0.71705191,0.54891886,0.56974154,0.66908964,0.67105393,0.58771998,0.69093558,0.58101646,0.60925134,0.7697484,0.53567523,0.48035399,0.73657338
0.03,0.68118719,0.63101466,0.72845783,0.54660611,0.5699721,0.67173112,0.67212705,0.58959984,0.69280256,0.57949711,0.60984189,0.8141082,0.53633424,0.47907227,0.72607487
0.032,0.69406634,0.64022721,0.75432662,0.54338647,0.57045648,0.67704141,0.67501964,0.5904197,0.69368678,0.57748563,0.61192583,0.87847781,0.53719596,0.48282407,0.74796599
0.035,0.71338506,0.63914436,0.73845279,0.55319109,0.57120561,0.6804328,0.67857659,0.60844806,0.6973027,0.58114376,0.61327862,0.82046179,0.53744576,0.49146936,0.75082286
0.036,0.71982463,0.63852842,0.72981722,0.55865844,0.57150614,0.68109491,0.67835097,0.62659939,0.70387148,0.58404621,0.61482332,0.78569958,0.53837233,0.49352082,0.74592749
0.04,0.74558292,0.65965519,0.78532616,0.55409458,0.5728345,0.68451383,0.68572044,0.65604979,0.73265598,0.58555171,0.61368909,0.93247482,0.54816404,0.49166431,0.75288853
0.042,0.75846207,0.65882316,0.78418235,0.55350386,0.57356441,0.69704879,0.69015736,0.65048169,0.74351782,0.58292677,0.61826351,0.93068922,0.54972278,0.48499042,0.72569203
0.044,0.77134122,0.66758966,0.78781354,0.56571248,0.57430584,0.69955874,0.68825422,0.72157195,0.74671302,0.61105562,0.62099622,0.90281826,0.55222697,0.48046708,0.74551831
0.045,0.77778079,0.67663753,0.79895186,0.57304872,0.5747251,0.69254189,0.68660666,0.78600019,0.74622525,0.63441936,0.6220081,0.89831323,0.55506278,0.48719124,0.759919
0.046,0.78422036,0.6820972,0.8063304,0.5770049,0.57515892,0.68738211,0.68683602,0.83950145,0.74630051,0.65524561,0.62124882,0.87274324,0.55764317,0.486778,0.77423133
0.048,0.79709951,0.69760888,0.84372048,0.57680021,0.57600593,0.68662453,0.69625932,0.92458208,0.74393444,0.65985786,0.62734228,0.91184246,0.56193564,0.48724581,0.79806737
0.05,0.80997866,0.71943878,0.89751873,0.57669231,0.57645937,0.71150247,0.70823138,1.03339139,0.73313425,0.64505535,0.64108083,0.9922446,0.56778165,0.5092317,0.79571355
0.055,0.84217652,0.70727687,0.8355161,0.59872044,0.5781819,0.80376023,0.73414941,0.93046797,0.70460011,0.66612903,0.65607151,0.8691777,0.57096572,0.54327182,0.72327014
0.06,0.87437439,0.7691849,0.93940578,0.62980813,0.63142092,0.94651029,0.78318694,1.0017866,0.73828152,0.67201742,0.65514844,0.9765283,0.57921566,0.57875736,0.8981804
0.065,0.90657225,0.82954187,1.08832881,0.63229027,0.67928908,1.0527985,0.78551675,1.24071609,0.72490244,0.66181709,0.6620076,1.17013481,0.60267817,0.58080416,0.96429588
0.067,0.9194514,0.85719136,1.17324832,0.62627579,0.67654864,1.13081209,0.75813932,1.4281209,0.76148738,0.66740706,0.66277921,1.2074548,0.61427687,0.57419561,0.94788303
0.07,0.93877012,0.89567354,1.30570026,0.61440678,0.68075274,1.21874806,0.81262944,1.73012634,0.80226715,0.65491949,0.65005649,1.18923979,0.62006184,0.56456121,0.92904637
0.075,0.97096798,0.88816629,1.25554035,0.62828674,0.76079289,1.141925,0.92614818,1.59943224,0.81944217,0.57031543,0.65320362,1.22898314,0.5786292,0.60732883,0.88362849
0.08,1.00316585,0.87877106,1.14871905,0.67226062,0.8790156,1.07495847,0.84732806,1.35472992,0.82233995,0.61050411,0.71644769,1.23135486,0.67001474,0.60777689,0.8520114
0.085,1.03536372,0.93212639,1.21557265,0.7147739,0.91048317,1.14391282,1.01553798,1.27948786,0.81096378,0.62364587,0.76189879,1.41025389,0.73129636,0.62720187,0.93870785
0.09,1.06756158,0.9384677,1.18035468,0.74614998,0.96865175,1.11291188,1.11379205,1.17242703,0.8214654,0.61229537,0.77568519,1.30349543,0.76591208,0.66080792,1.01570056
0.095,1.09975945,0.96077338,1.18940797,0.7760882,1.05798736,1.19735491,1.18007857,1.27816285,0.77974451,0.69620873,0.74843801,1.07428236,0.77450213,0.74379877,1.03794899
0.1,1.13195731,0.97543766,1.18756537,0.80120105,1.17115209,1.1400699,1.06222989,1.25945583,0.88339255,0.6753573,0.76228262,1.18576587,0.80578182,0.79017745,0.99414891
0.11,1.19635304,0.99073501,1.14997379,0.85354629,1.11206146,1.15644042,1.07096844,1.04592752,0.95471134,0.7655366,0.90104846,1.23944063,0.78478556,0.84047273,1.02669195
0.12,1.22,1.06391914,1.28791497,0.87888095,1.35116987,1.24944327,1.10840231,0.94782776,0.99548915,0.77568783,1.04511247,1.46268885,0.87849752,0.86671305,1.02207842
0.13,1.22,1.19082322,1.47522054,0.96125284,1.65710767,1.45336982,1.34031794,1.0282278,1.0035383,0.75246668,1.11691877,1.44117183,0.98471137,1.30314121,1.01808402
0.133,1.22,1.19389881,1.48702469,0.9585546,1.63377952,1.46270432,1.36916727,0.9503946,1.00651265,0.73852606,1.1670992,1.38488233,0.96764071,1.40925462,1.0429256
